Date,High,Low,Open,Close,Volume,Adj Close
2019-01-02,158.85000610351562,154.22999572753906,154.88999938964844,157.9199981689453,37039700.0,155.21400451660156
2019-01-03,145.72000122070312,142.0,143.97999572753906,142.19000244140625,91312200.0,139.7535400390625
2019-01-04,148.5500030517578,143.8000030517578,144.52999877929688,148.25999450683594,58607100.0,145.71951293945312
2019-01-07,148.8300018310547,145.89999389648438,148.6999969482422,147.92999267578125,54777800.0,145.39520263671875
2019-01-08,151.82000732421875,148.52000427246094,149.55999755859375,150.75,41025300.0,148.1668701171875
2019-01-09,154.52999877929688,149.6300048828125,151.2899932861328,153.30999755859375,45099100.0,150.6829833984375
2019-01-10,153.97000122070312,150.86000061035156,152.5,153.8000030517578,35780700.0,151.1646270751953
2019-01-11,153.6999969482422,151.50999450683594,152.8800048828125,152.2899932861328,27023200.0,149.6804656982422
2019-01-14,151.27000427246094,149.22000122070312,150.85000610351562,150.0,32439200.0,147.42971801757812
2019-01-15,153.38999938964844,150.0500030517578,150.27000427246094,153.07000732421875,28710900.0,150.44712829589844
2019-01-16,155.8800048828125,153.0,153.0800018310547,154.94000244140625,30569700.0,152.2850799560547
2019-01-17,157.66000366210938,153.25999450683594,154.1999969482422,155.86000061035156,29821200.0,153.18930053710938
2019-01-18,157.8800048828125,155.97999572753906,157.5,156.82000732421875,33751000.0,154.1328582763672
2019-01-22,156.72999572753906,152.6199951171875,156.41000366210938,153.3000030517578,30394000.0,150.6731719970703
2019-01-23,155.13999938964844,151.6999969482422,154.14999389648438,153.9199981689453,23130600.0,151.2825469970703
2019-01-24,154.47999572753906,151.74000549316406,154.11000061035156,152.6999969482422,25441500.0,150.08343505859375
2019-01-25,158.1300048828125,154.32000732421875,155.47999572753906,157.75999450683594,33535500.0,155.05674743652344
2019-01-28,156.3300018310547,153.66000366210938,155.7899932861328,156.3000030517578,26192100.0,153.62176513671875
2019-01-29,158.1300048828125,154.11000061035156,156.25,154.67999267578125,41587200.0,152.02951049804688
2019-01-30,166.14999389648438,160.22999572753906,163.25,165.25,61109800.0,162.4184112548828
2019-01-31,169.0,164.55999755859375,166.11000061035156,166.44000244140625,40739600.0,163.58799743652344
2019-02-01,168.97999572753906,165.92999267578125,166.9600067138672,166.52000427246094,32668100.0,163.66664123535156
2019-02-04,171.66000366210938,167.27999877929688,167.41000366210938,171.25,31495500.0,168.31558227539062
